service_id,doj,DOI,seats,seat_type,Booking_Channel,gmv,asp,dow,SrcId-DestId
Service2,01-09-2022,27-08-2022 22:19,1,Sleeper,Online Booking,859,859,Thu,J-A
Service2,01-09-2022,30-08-2022 16:53,1,Sleeper,Online Booking,885,885,Thu,H-A
Service2,01-09-2022,01-09-2022 12:39,4,Seater,Offline Booking,3100,775,Thu,J-C
Service2,01-09-2022,01-09-2022 07:31,1,Seater,Online Booking,741,741,Thu,E-A
Service2,01-09-2022,01-09-2022 19:07,1,Sleeper,Online Booking,682,682,Thu,J-B
Service2,01-09-2022,01-09-2022 15:21,1,Sleeper,Online Booking,683,683,Thu,J-B
Service2,01-09-2022,01-09-2022 15:09,1,Seater,Online Booking,639,639,Thu,J-B
Service2,01-09-2022,31-08-2022 20:11,1,Seater,Online Booking,757,757,Thu,J-B
Service2,01-09-2022,31-08-2022 18:55,1,Sleeper,Online Booking,825,825,Thu,J-B
Service2,01-09-2022,01-09-2022 18:34,1,Sleeper,Online Booking,719,719,Thu,J-A
Service2,01-09-2022,01-09-2022 17:43,1,Seater,Online Booking,652,652,Thu,J-A
Service2,01-09-2022,30-08-2022 18:02,1,Seater,Online Booking,759,759,Thu,J-B
Service2,01-09-2022,01-09-2022 14:47,1,Seater,Online Booking,655,655,Thu,J-A
Service2,01-09-2022,01-09-2022 13:55,1,Seater,Online Booking,667,667,Thu,J-A
Service2,01-09-2022,01-09-2022 08:12,1,Seater,Online Booking,706,706,Thu,J-A
Service2,01-09-2022,31-08-2022 22:57,2,Sleeper,Online Booking,1758,879,Thu,J-A
Service2,01-09-2022,01-09-2022 16:17,2,Sleeper,Online Booking,1388,694,Thu,J-A
Service2,01-09-2022,31-08-2022 10:23,1,Sleeper,Online Booking,853,853,Thu,J-A
Service2,01-09-2022,31-08-2022 12:20,2,Sleeper,Online Booking,1726,863,Thu,J-A
Service2,01-09-2022,30-08-2022 19:21,1,Seater,Online Booking,767,767,Thu,J-A
Service2,01-09-2022,30-08-2022 03:55,1,Sleeper,Online Booking,903,903,Thu,J-A
Service2,01-09-2022,28-08-2022 11:48,2,Sleeper,Online Booking,1684,842,Thu,J-A
Service2,02-09-2022,01-09-2022 12:28,2,Seater,Online Booking,1332,666,Fri,J-B
Service2,02-09-2022,02-09-2022 13:54,1,Sleeper,Online Booking,705,705,Fri,J-B
Service2,02-09-2022,02-09-2022 18:37,1,Sleeper,Online Booking,769,769,Fri,H-A
Service2,02-09-2022,02-09-2022 22:40,1,Sleeper,Offline Booking,652,652,Fri,J-A
Service2,02-09-2022,02-09-2022 18:33,2,Sleeper,Online Booking,1438,719,Fri,J-A
Service2,02-09-2022,02-09-2022 18:21,2,Sleeper,Online Booking,1490,745,Fri,J-A
Service2,02-09-2022,30-08-2022 19:56,1,Sleeper,Online Booking,815,815,Fri,J-B
Service2,02-09-2022,02-09-2022 11:44,1,Sleeper,Online Booking,760,760,Fri,J-A
Service2,02-09-2022,02-09-2022 14:00,1,Seater,Online Booking,645,645,Fri,J-A
Service2,02-09-2022,02-09-2022 02:54,2,Sleeper,Online Booking,1700,850,Fri,J-A
Service2,02-09-2022,27-08-2022 20:29,1,Seater,Online Booking,710,710,Fri,J-A
Service2,02-09-2022,29-08-2022 11:55,2,Sleeper,Online Booking,1680,840,Fri,J-A
Service2,02-09-2022,30-08-2022 13:04,1,Sleeper,Online Booking,839,839,Fri,J-A
Service2,02-09-2022,31-08-2022 02:57,1,Seater,Online Booking,676,676,Fri,J-A
Service2,02-09-2022,31-08-2022 08:02,1,Seater,Online Booking,703,703,Fri,J-A
Service2,02-09-2022,02-09-2022 06:52,1,Seater,Online Booking,654,654,Fri,J-A
Service2,02-09-2022,31-08-2022 14:53,1,Seater,Online Booking,701,701,Fri,J-A
Service2,02-09-2022,31-08-2022 11:31,1,Sleeper,Online Booking,853,853,Fri,J-A
Service2,02-09-2022,31-08-2022 19:02,2,Sleeper,Online Booking,1664,832,Fri,J-A
Service2,02-09-2022,01-09-2022 11:17,1,Seater,Online Booking,703,703,Fri,J-A
Service2,02-09-2022,01-09-2022 15:15,2,Sleeper,Online Booking,1704,852,Fri,J-A
Service2,02-09-2022,01-09-2022 17:13,1,Sleeper,Online Booking,874,874,Fri,J-A
Service2,02-09-2022,01-09-2022 22:43,1,Seater,Online Booking,668,668,Fri,J-A
Service2,02-09-2022,01-09-2022 23:00,1,Sleeper,Online Booking,817,817,Fri,J-A
Service2,02-09-2022,31-08-2022 15:22,1,Sleeper,Online Booking,855,855,Fri,J-A
Service2,02-09-2022,01-09-2022 19:23,1,Sleeper,Offline Booking,819,819,Fri,J-A
Service2,03-09-2022,03-09-2022 15:24,1,Seater,Offline Booking,678,678,Sat,J-B
Service2,03-09-2022,03-09-2022 13:46,1,Sleeper,Online Booking,812,812,Sat,J-A
Service2,03-09-2022,03-09-2022 20:39,2,Sleeper,Offline Booking,1316,658,Sat,J-A
Service2,03-09-2022,03-09-2022 18:32,1,Seater,Online Booking,601,601,Sat,J-A
Service2,03-09-2022,03-09-2022 13:44,1,Seater,Online Booking,671,671,Sat,J-A
Service2,03-09-2022,03-09-2022 11:50,3,Sleeper,Online Booking,2466,822,Sat,J-A
Service2,03-09-2022,02-09-2022 21:11,1,Seater,Online Booking,697,697,Sat,J-A
Service2,03-09-2022,02-09-2022 09:25,1,Sleeper,Online Booking,822,822,Sat,J-A
Service2,03-09-2022,02-09-2022 07:58,1,Sleeper,Online Booking,831,831,Sat,J-A
Service2,03-09-2022,01-09-2022 22:05,2,Sleeper,Online Booking,1604,802,Sat,J-A
Service2,03-09-2022,01-09-2022 20:27,1,Seater,Online Booking,687,687,Sat,J-A
Service2,03-09-2022,01-09-2022 19:15,1,Seater,Online Booking,686,686,Sat,J-A
Service2,03-09-2022,01-09-2022 22:57,1,Seater,Online Booking,675,675,Sat,J-A
Service2,03-09-2022,01-09-2022 15:16,2,Sleeper,Online Booking,1554,777,Sat,J-A
Service2,03-09-2022,01-09-2022 12:40,1,Seater,Online Booking,673,673,Sat,J-A
Service2,03-09-2022,29-08-2022 14:58,3,Sleeper,Online Booking,2388,796,Sat,J-A
Service2,03-09-2022,28-08-2022 12:23,2,Sleeper,Online Booking,1600,800,Sat,J-A
